,crime_type,x_number,mod_r2,mod_rmse,alpha,coef,rmse,r_sq,p_values
0,p_crime,11,0.41529336533283134,3.166219496497361,0.001,"[0.19881049 0.19725903 0.18358601 0.         0.         1.27932843
 0.14946302 0.3396446  0.06362603 0.69179271 0.54926599]",4.361166808320911,0.5320163286188356,"[0.00000000e+00 0.00000000e+00 0.00000000e+00 1.00000000e+00
 1.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 7.60244292e-06 0.00000000e+00 0.00000000e+00]"
1,p_crime,10,0.5152747972897214,2.882835147905617,0.004,"[-0.41289745 -3.48337377  6.77177136 -1.30943955 -0.00857196 -0.35852705
 -1.79867331  0.42417242  1.22941836  1.03559727]",4.122196973702251,0.5332758374039555,"[0.         0.         0.         0.         0.87283952 0.
 0.         0.         0.         0.        ]"
2,p_crime,21,0.5853341808646083,2.6663743735642225,0.002,"[ 2.05622233e-01  1.98478696e-01  1.83619998e-01 -0.00000000e+00
 -2.15539618e-03  1.05103588e+00 -1.80461335e-01  2.45258595e-01
 -6.14413384e-04  9.42551931e-02  2.55088874e-01 -1.20401232e+00
 -3.09297900e+00  4.88281615e+00 -4.57678286e-01 -1.18103860e-01
  6.48435985e-01 -1.05176366e+00  2.60609385e-01  1.13504666e+00
  4.10859290e-01]",3.733655527763642,0.6271501239423669,"[0.00000000e+00 0.00000000e+00 0.00000000e+00 1.00000000e+00
 8.46921614e-01 0.00000000e+00 0.00000000e+00 0.00000000e+00
 9.59318450e-01 8.01581024e-14 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 1.98477689e-02
 0.00000000e+00 0.00000000e+00 4.44089210e-16 0.00000000e+00
 0.00000000e+00]"
3,Bicycle theft,11,0.25990048183474146,0.48812995195951664,0.024,"[-0.          0.0262112   0.06357017 -0.00570756  0.03714448  0.20914362
  0.          0.0181782   0.          0.          0.        ]",0.4669079673768697,0.31440881227134154,"[1.00000000e+00 0.00000000e+00 0.00000000e+00 1.46563077e-02
 0.00000000e+00 0.00000000e+00 1.00000000e+00 2.09128270e-11
 1.00000000e+00 1.00000000e+00 1.00000000e+00]"
4,Bicycle theft,10,0.1945666330894682,0.5092197070027829,0.001,"[ 0.25252222 -0.14140965  0.44974913 -0.17069715  0.         -0.34158771
 -0.07257547  0.03868309 -0.          0.14798043]",0.5109632080688393,0.16736165461874308,"[0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 1.00000000e+00 0.00000000e+00 0.00000000e+00 1.74473991e-10
 1.00000000e+00 0.00000000e+00]"
5,Bicycle theft,21,0.2702845730996656,0.48469345982796175,0.022000000000000002,"[-0.          0.03025571  0.06672046 -0.01027     0.03698948  0.17995681
  0.          0.01883648  0.          0.          0.          0.
  0.          0.01181713  0.          0.         -0.          0.
  0.04106477  0.          0.        ]",0.4642660874972455,0.3188948035190903,"[1.00000000e+00 0.00000000e+00 0.00000000e+00 1.06827163e-05
 0.00000000e+00 0.00000000e+00 1.00000000e+00 1.39934730e-11
 1.00000000e+00 1.00000000e+00 1.00000000e+00 1.00000000e+00
 1.00000000e+00 2.10664548e-01 1.00000000e+00 1.00000000e+00
 1.00000000e+00 1.00000000e+00 2.24087415e-12 1.00000000e+00
 1.00000000e+00]"
6,Burglary,11,0.09806700616420128,0.6635191029653932,0.004,"[ 0.01703532  0.04656691  0.07214981  0.          0.01491481  0.11635737
  0.01673394  0.         -0.01141569  0.0240809   0.05843065]",0.6194223438010612,0.13761547152326703,"[1.41827913e-06 0.00000000e+00 0.00000000e+00 1.00000000e+00
 6.71619906e-08 0.00000000e+00 2.02278860e-10 1.00000000e+00
 1.26951200e-04 8.88178420e-16 0.00000000e+00]"
7,Burglary,10,0.07492943230750537,0.6719759445099207,0.002,"[-0.01307028 -0.04933786  0.24358484 -0.08197982  0.         -0.05674225
 -0.09294742  0.05001087  0.01537044  0.13964407]",0.6371463489654476,0.08454600690617942,"[2.95130689e-02 5.20418285e-05 0.00000000e+00 4.86188201e-10
 1.00000000e+00 0.00000000e+00 0.00000000e+00 4.03243439e-10
 1.35213444e-01 0.00000000e+00]"
8,Burglary,21,0.10910614739081581,0.6594460554131778,0.007,"[ 0.01173563  0.04566153  0.06664267 -0.          0.0136063   0.08981565
 -0.          0.         -0.00104054  0.00731212  0.04619772 -0.0249385
  0.          0.02460566  0.          0.          0.         -0.
  0.          0.03615708  0.04733023]",0.619127571668392,0.13632625479955562,"[9.22108333e-04 0.00000000e+00 0.00000000e+00 1.00000000e+00
 8.34614397e-07 0.00000000e+00 1.00000000e+00 1.00000000e+00
 7.26870881e-01 1.91025233e-02 0.00000000e+00 1.08919389e-04
 1.00000000e+00 5.54059398e-02 1.00000000e+00 1.00000000e+00
 1.00000000e+00 1.00000000e+00 1.00000000e+00 4.71106906e-04
 3.98131004e-06]"
9,Criminal damage and arson,11,0.13606583811454054,0.6072197213529876,0.001,"[ 0.03728333  0.03653847 -0.03131254 -0.03253207 -0.          0.04498705
  0.07614673  0.02794174  0.0364338   0.04936647  0.04604734]",0.6017304546057146,0.20759605892210542,[0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0.]
