,crime_type,x_number,mod_r2,mod_rmse,alpha,coef,rmse,r_sq,p_values
0,p_crime,11,0.2990486369873744,1.7846395686524492,0.026000000000000002,"[ 0.18562555  0.06749539  0.07851233 -0.00873248  0.08235578  0.31792335
  0.18601688  0.          0.16837148  0.10005358  0.50759368]",1.8454821673481432,0.2856123990835604,"[7.55273952e-06 7.52853522e-02 2.59144198e-02 8.14738343e-01
 1.10263864e-02 7.55454761e-08 1.75529347e-09 1.00000000e+00
 1.46949149e-06 4.42737645e-03 0.00000000e+00]"
1,p_crime,10,0.25751576275815846,1.8367506172586414,0.003,"[-1.24373925 -0.          3.92962047  0.35246327  0.96792994 -0.52033485
 -1.7210687  -0.37432687  0.90852607  0.78245983]",1.8760807258750887,0.2623135196144116,"[6.03454375e-09 1.00000000e+00 0.00000000e+00 4.06693074e-01
 3.88094000e-03 8.66342975e-04 0.00000000e+00 2.59673243e-03
 1.05262189e-02 6.49113190e-03]"
2,p_crime,21,0.32833686000840945,1.7469574751550194,0.004,"[ 0.23636969  0.05942673  0.06066828  0.          0.05897899  0.22964251
 -0.         -0.          0.13810446  0.09642946  0.39733125 -0.8722178
 -0.          1.77633349  0.07216251  0.80608765  0.         -0.67487808
 -0.          0.34114201  0.        ]",1.799658067522828,0.32081169529013376,"[8.34931502e-09 1.11972558e-01 8.62745884e-02 1.00000000e+00
 6.55544657e-02 1.16754057e-04 1.00000000e+00 1.00000000e+00
 6.02891549e-05 5.44437464e-03 0.00000000e+00 5.37746120e-05
 1.00000000e+00 3.78520870e-05 8.65777518e-01 1.39382877e-02
 1.00000000e+00 3.31758683e-04 1.00000000e+00 3.28452367e-01
 1.00000000e+00]"
3,Bicycle theft,11,0.10820679162781421,0.29298240561508127,0.019000000000000003,"[ 0.          0.          0.02747707 -0.01587843  0.01794952  0.02566256
  0.00199144  0.          0.          0.          0.02854792]",0.31093304745555755,0.12096661445405765,"[1.00000000e+00 1.00000000e+00 2.09327358e-06 9.47604168e-03
 7.41598313e-04 8.12064756e-03 6.94142047e-01 1.00000000e+00
 1.00000000e+00 1.00000000e+00 1.28191828e-05]"
4,Bicycle theft,10,0.09196258774534061,0.2956387322391976,0.001,"[-0.20110436  0.18206644  0.11756092  0.05089459  0.01748382 -0.04162668
 -0.07232261 -0.          0.04702063  0.14632068]",0.3123373816884556,0.10082703236352952,"[5.14870813e-09 4.85790042e-04 8.64313860e-02 4.56656752e-01
 7.45785228e-01 9.76926058e-02 1.67228785e-02 1.00000000e+00
 4.10637058e-01 1.56760945e-03]"
5,Bicycle theft,21,0.10820679162781421,0.29298240561508127,0.019000000000000003,"[ 0.          0.          0.02747707 -0.01587843  0.01794952  0.02566256
  0.00199144  0.          0.          0.          0.02854792  0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.        ]",0.31093304745555755,0.12096661445405765,"[1.00000000e+00 1.00000000e+00 3.69161931e-06 1.02892890e-02
 8.36923232e-04 1.02182205e-02 7.59978812e-01 1.00000000e+00
 1.00000000e+00 1.00000000e+00 1.95514483e-05 1.00000000e+00
 1.00000000e+00 1.00000000e+00 1.00000000e+00 1.00000000e+00
 1.00000000e+00 1.00000000e+00 1.00000000e+00 1.00000000e+00
 1.00000000e+00]"
6,Burglary,11,0.0699526826881588,0.6100407117561909,0.001,"[ 0.03114756  0.04361914  0.08124069  0.01897227  0.01865614  0.06345832
  0.01065917 -0.06120352 -0.01245786  0.03234134  0.09677403]",0.5830852339066733,0.06373147112087985,"[2.78315988e-02 7.75489090e-04 1.71074266e-11 1.36455418e-01
 9.20239205e-02 1.67150122e-03 3.12099863e-01 3.51444303e-05
 2.96719376e-01 7.11644423e-03 1.32227562e-12]"
7,Burglary,10,0.03622846618854669,0.6210024959692191,0.002,"[-0.10905473  0.00463113  0.2674134   0.          0.         -0.13116113
 -0.12347131 -0.          0.01848533  0.35851059]",0.5905642979388442,0.03952473385457733,"[1.30854276e-01 9.66283329e-01 6.33659116e-02 1.00000000e+00
 1.00000000e+00 1.29976395e-02 5.17855994e-02 1.00000000e+00
 8.77615150e-01 2.26505973e-04]"
8,Burglary,21,0.07076147325880922,0.6097754012749285,0.002,"[ 0.02573401  0.04056599  0.0733827   0.01475916  0.01766074  0.05889507
  0.00875257 -0.05179916 -0.00943034  0.02881821  0.09286112 -0.03829413
 -0.          0.         -0.         -0.         -0.         -0.
  0.          0.          0.05784461]",0.582663230348372,0.06498476542067277,"[7.18962380e-02 1.88898248e-03 2.94825542e-09 2.51677178e-01
 1.14149505e-01 4.62762027e-03 5.18835494e-01 6.83391783e-04
 4.32203292e-01 1.73114184e-02 2.65629740e-11 6.11169527e-01
 1.00000000e+00 1.00000000e+00 1.00000000e+00 1.00000000e+00
 1.00000000e+00 1.00000000e+00 1.00000000e+00 1.00000000e+00
 5.58588583e-01]"
9,Criminal damage and arson,11,0.07694060214779486,0.5443361094030048,0.004,"[ 0.02728916  0.03743171 -0.02064335 -0.02145269 -0.          0.
  0.05276525  0.          0.00564578  0.04505773  0.05829505]",0.559335266186569,0.09326916356236192,"[3.07873503e-02 1.22537274e-03 5.48193040e-02 5.91707403e-02
 1.00000000e+00 1.00000000e+00 2.15583826e-08 1.00000000e+00
 5.96107656e-01 2.67034490e-05 1.63067870e-06]"
10,Criminal damage and arson,10,0.050576354001488966,0.5520549972602368,0.002,"[-0.          0.          0.23578219  0.          0.25689377 -0.10552266
 -0.07903075 -0.04055164  0.          0.0744613 ]",0.570063171937988,0.05934305115204941,"[1.         1.         0.06555435 1.         0.01076727 0.02457523
 0.16136481 0.27747455 1.         0.3886349 ]"
11,Criminal damage and arson,21,0.08062523484676543,0.5432485987096515,0.005,"[ 0.02457005  0.03971559 -0.01957003 -0.01856748 -0.          0.
  0.02825933  0.          0.00424693  0.04456368  0.05401975  0.
  0.          0.00518532  0.          0.09864604  0.          0.
  0.          0.          0.        ]",0.5585922215713356,0.09654923482624411,"[5.37612233e-02 6.39713349e-04 7.51765195e-02 1.05544191e-01
 1.00000000e+00 1.00000000e+00 1.94166569e-02 1.00000000e+00
 6.91337653e-01 3.64851860e-05 1.31618650e-05 1.00000000e+00
 1.00000000e+00 9.69120668e-01 1.00000000e+00 3.33097204e-01
 1.00000000e+00 1.00000000e+00 1.00000000e+00 1.00000000e+00
 1.00000000e+00]"
12,Robbery,11,0.09785305404522127,0.33387539591889664,0.016,"[ 0.00851547  0.00841157  0.         -0.01042708  0.01557829  0.
  0.          0.          0.0158949   0.00672281  0.06159787]",0.3256796739128802,0.08973541453015332,"[2.71771833e-01 2.36019547e-01 1.00000000e+00 1.34818915e-01
 1.01685793e-02 1.00000000e+00 1.00000000e+00 1.00000000e+00
 1.50141026e-02 3.06530096e-01 2.22044605e-16]"
13,Robbery,10,0.07658739596313635,0.3377875663786339,0.001,"[-0.12529754  0.          0.14294105  0.04359205  0.16618609 -0.07407001
 -0.15697941 -0.          0.10590789  0.14873953]",0.33020492122317013,0.06365374604534313,"[1.42381550e-03 1.00000000e+00 6.80738619e-02 5.76835995e-01
 7.01638698e-03 9.91764492e-03 5.57216117e-06 1.00000000e+00
 1.04849054e-01 4.90232911e-03]"
14,Robbery,21,0.09785305404522127,0.33387539591889664,0.016,"[ 0.00851547  0.00841157  0.         -0.01042708  0.01557829  0.
  0.          0.          0.0158949   0.00672281  0.06159787  0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.        ]",0.3256796739128802,0.08973541453015332,"[2.76681604e-01 2.39117333e-01 1.00000000e+00 1.39148112e-01
 1.09415121e-02 1.00000000e+00 1.00000000e+00 1.00000000e+00
 1.56424391e-02 3.10452062e-01 6.66133815e-16 1.00000000e+00
 1.00000000e+00 1.00000000e+00 1.00000000e+00 1.00000000e+00
 1.00000000e+00 1.00000000e+00 1.00000000e+00 1.00000000e+00
 1.00000000e+00]"
15,Shoplifting,11,0.22914465521725513,0.6793122404314529,0.006,"[-0.         -0.         -0.00692176  0.00227086 -0.00023653  0.17626279
  0.04546793 -0.01029081  0.15619506 -0.04991294  0.08522438]",0.7871652367832309,0.17467446365930028,"[1.00000000e+00 1.00000000e+00 6.05828087e-01 8.72817234e-01
 9.84692989e-01 5.32907052e-15 1.09141645e-04 5.31807168e-01
 0.00000000e+00 1.92424675e-04 1.97547771e-08]"
16,Shoplifting,10,0.2177514766273877,0.6843139118854739,0.002,"[-0.15942965 -0.43685076  1.44520872  0.88977878 -0.         -0.1571716
 -0.49723957 -0.0718111   0.         -0.07380054]",0.7940887481887651,0.15990163932349433,"[4.50620910e-02 2.99232655e-04 0.00000000e+00 1.98691037e-08
 1.00000000e+00 6.91577418e-03 1.33382194e-12 1.20812194e-01
 1.00000000e+00 4.90625409e-01]"
17,Shoplifting,21,0.269446813399834,0.6613158247010275,0.002,"[ 0.01546132 -0.00235943 -0.02110764  0.         -0.00287268  0.16313429
 -0.01973473 -0.04488053  0.13597629 -0.05552252  0.04648612 -0.17501596
 -0.15811967  0.86566889  0.3986835  -0.         -0.         -0.26378616
  0.         -0.         -0.17684167]",0.7717789385568902,0.20643652273268187,"[3.18682682e-01 8.67591116e-01 1.14886052e-01 1.00000000e+00
 8.12676906e-01 5.34461364e-13 1.79868364e-01 6.65165019e-03
 0.00000000e+00 2.38485247e-05 2.05771032e-03 3.21937680e-02
 2.85477844e-01 1.15073313e-07 1.36609272e-02 1.00000000e+00
 1.00000000e+00 2.10791643e-04 1.00000000e+00 1.00000000e+00
 9.92103126e-02]"
18,Theft from the person,11,0.25174774572176106,0.4878733954623884,0.011,"[ 0.          0.02005328  0.00402935 -0.          0.07111005  0.0214961
  0.          0.08384978  0.0109878   0.04968369  0.12588204]",0.4339939515707564,0.2937817190562485,"[1.00000000e+00 5.32262659e-02 6.75744473e-01 1.00000000e+00
 1.33226763e-15 1.82897126e-01 1.00000000e+00 1.49014134e-12
 2.49810226e-01 2.40898114e-07 0.00000000e+00]"
19,Theft from the person,10,0.16569385435299622,0.5151644009440093,0.001,"[-0.28663392  0.59022334  0.14135386  0.0719658   0.         -0.15356776
 -0.314267   -0.11384527  0.49003878  0.2772355 ]",0.4613875919441267,0.20442049067544565,"[1.74047438e-06 9.17974585e-11 2.36749598e-01 5.45823067e-01
 1.00000000e+00 4.57444074e-04 2.56053845e-09 1.09230091e-03
 8.88522017e-07 5.86790535e-04]"
20,Theft from the person,21,0.25174774572176106,0.4878733954623884,0.011,"[ 0.          0.02005328  0.00402935 -0.          0.07111005  0.0214961
  0.          0.08384978  0.0109878   0.04968369  0.12588204 -0.
  0.          0.          0.          0.         -0.          0.
  0.          0.          0.        ]",0.4339939515707564,0.2937817190562485,"[1.00000000e+00 5.48122557e-02 6.83265110e-01 1.00000000e+00
 2.22044605e-15 1.96256738e-01 1.00000000e+00 6.95710156e-12
 2.52721765e-01 3.00629883e-07 0.00000000e+00 1.00000000e+00
 1.00000000e+00 1.00000000e+00 1.00000000e+00 1.00000000e+00
 1.00000000e+00 1.00000000e+00 1.00000000e+00 1.00000000e+00
 1.00000000e+00]"
21,Vehicle crime,11,0.028982607596782062,0.8535847585330938,0.005,"[ 0.14273393 -0.07774025 -0.          0.01012563 -0.0410292  -0.
  0.06087493  0.01340052 -0.          0.02687355  0.01913964]",0.8816788757818801,0.020505530085800028,"[6.64801547e-13 1.86897600e-05 1.00000000e+00 5.70000186e-01
 8.10799812e-03 1.00000000e+00 3.75029280e-05 5.17011293e-01
 1.00000000e+00 1.09897902e-01 3.14902284e-01]"
